Exercício: 2018
Período: 3o. quadrimestre
Escopo: Estados/DF
Anexo 02 - Demonstrativo da Dívida Consolidada Líquida
Tabela: Dívida Consolidada Líquida
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Valor
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"DÍVIDA CONSOLIDADA - DC (I)";23224812961,96
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Mobiliária";0,00
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Contratual";20220062575,08
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"Empréstimos";19595853152,42
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"Internos";16430503699,54
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"Externos";3165349452,88
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"Reestruturação da Dívida de Estados e Municípios";0,00
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"Financiamentos";5311684,07
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"Internos";5311684,07
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"Externos";0,00
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"Parcelamento e Renegociação de Dívidas";618897738,59
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"De Tributos";0,00
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"De Contribuições Previdenciárias";339532760,01
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"De Demais Contribuições Sociais";278719736,67
Governo do Estado de Santa Catarina;42;SC;Executivo;6910553;"SALDO DO EXERCÍCIO ANTERIOR";"Do FGTS";0,00
