Exercício: 2019
Período: 3o. quadrimestre
Escopo: Federal
Anexo 02 - Demonstrativo da Dívida Consolidada Líquida
Tabela: Dívida Consolidada Líquida
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Valor
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"DÍVIDA CONSOLIDADA - DC (I)";5764560885784,74
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Mobiliária";5711201009130,8
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Mobiliária do TN Interna (em mercado)";3738771183306,74
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"(-) Aplicações em Títulos Públicos";2417143802,44
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Mobiliária do TN Interna (em carteira BCB)";1806878012342,95
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Securitizada";6498246584,38
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Mobiliária Externa";134284322956,00
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Operações de Equalização Cambial - Relacionamento TN/BCB (Lei nº 11.803/08)";27186387743,17
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Contratual";44552709582,86
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Precatórios posteriores a 05/05/2000 (inclusive)";411566570,95
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Assumida pela União (Lei nº 8.727/1993)";4247359189,09
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Outras Dívidas";4148241311,04
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Passivos reconhecidos com insuficiência de créditos / recursos";4148241311,04
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"DEDUÇÕES (II)";2561056706785,26
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Ativo Disponível";1277458512251,52
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Depósitos do TN no BCB";1274111967734,42
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Depósitos à Vista";2711227299,65
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Arrecadação a Recolher";635317217,45
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Haveres Financeiros";1344049082712,26
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Aplicações Financeiras";362009742883,9
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Disponibilidades do FAT";308258223425,96
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Aplicações de Fundos Diversos Junto ao Setor Privado";53751519457,94
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Renegociação de Dívidas de Entes da Federação";597439986628,82
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Renegociada de Estados e Municípios (Lei nº 9.496/1997 e MP nº 2.185/2001)";578511393744,94
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Créditos da Lei nº 8.727/93";7986195685,34
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Externa Renegociada (Aviso MF nº 30 e outros)";5892755702,78
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Demais Dívidas Renegociadas";29037511553,66
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Ajustes para Perdas";-23987870057,9
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Demais Ativos Financeiros";384599353199,54
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Outros Créditos Bancários";389513296843,3
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"Ajustes para Perdas";-4913943643,76
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"(-) Restos a Pagar Processados";60450888178,52
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II)";3203504178999,48
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"RECEITA CORRENTE LÍQUIDA - RCL";805348403466,57
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"% da DC sobre a RCL (I/RCL)";715,78
Governo Federal;1;BR;Executivo;8569324;"SALDO DO EXERCÍCIO ANTERIOR";"% da DCL sobre a RCL (III/RCL)";397,78
Governo Federal;1;BR;Executivo;8569324;"Até o 1º Quadrimestre";"DÍVIDA CONSOLIDADA - DC (I)";5781968232801,39
Governo Federal;1;BR;Executivo;8569324;"Até o 1º Quadrimestre";"Dívida Mobiliária";5737006055323,27
Governo Federal;1;BR;Executivo;8569324;"Até o 1º Quadrimestre";"Dívida Mobiliária do TN Interna (em mercado)";3734727182769,2
Governo Federal;1;BR;Executivo;8569324;"Até o 1º Quadrimestre";"(-) Aplicações em Títulos Públicos";2525496468,14
Governo Federal;1;BR;Executivo;8569324;"Até o 1º Quadrimestre";"Dívida Mobiliária do TN Interna (em carteira BCB)";1857212348111,48
Governo Federal;1;BR;Executivo;8569324;"Até o 1º Quadrimestre";"Dívida Securitizada";5404541259,27
Governo Federal;1;BR;Executivo;8569324;"Até o 1º Quadrimestre";"Dívida Mobiliária Externa";141137552327,00
Governo Federal;1;BR;Executivo;8569324;"Até o 1º Quadrimestre";"Operações de Equalização Cambial - Relacionamento TN/BCB (Lei nº 11.803/08)";1049927324,46
